StationName,Latitude,Longitude
Dhaka,23.7319228,90.3966615
Chatmohar,24.1887526,89.2755732
Natore,24.41081305,88.96658965
Santahar,24.8059735,88.9860399
Talora,24.8237871,89.1785781
Bogura,24.8485692,89.3666678
Gaibandha,25.3323091,89.542466
Pirgacha,25.6593276,89.407802
Kaunia,25.7777897,89.4236255
Kurigram,25.8075574,89.6212955
Rangpur,25.7284973,89.2634621
Joypurhat,25.098996,89.0260363
Parbatipur,25.6532156,88.915503
Dinajpur,25.6249608,88.632424
Pirganj,25.859262,88.3578266
Joydebpur,23.997882,90.4200786
Tangail,24.2738464,89.9377198
Ishwardi Bypass,24.1550637,89.0574975
Akkelpur,24.9645943,89.0157574
Panchbibi,25.1885176,89.0215654
Birampur,25.3979257,88.9940017
Fulbari,25.4954304,88.968885
Chirirbandar,25.6458795,88.7758409
Ruhia,26.158179,88.3975246
Khulna,22.82038645,89.55792900173348
Noapara,23.0332329,89.39524326516693
Chuadanga,23.6380381,88.8546283
Alamdanga,23.7614107,88.93651
Poradaha,23.8640867,89.0316196
Bheramara,24.0232047,88.9918668
Pakshi,24.070877,89.0406856
Ishwardi,24.1302365,89.0627406
Saidpur,25.7870289,88.8931484
Nilphamari,25.9490764,88.8358417
Domar,26.1046376,88.8199769
Chilahati,26.2431402,88.7963052
Abdulpur,24.2598727,88.971789
Arani,24.2897643,88.8825729
Rajshahi,24.375032349999998,88.60854140477822
Daulatpur,22.8766319,89.522307
Gobra,22.9479095,89.8290566
Borashi,22.9949044,89.8426335
Gopalganj,23.03408,89.8401059
Chapta,23.1978933,89.7520757
Kashiani,23.2334792,89.7250801
Madhukhali,23.5467521,89.6307076
Baharpur,23.6863795,89.5615165
Kalukhali,23.7681463,89.4804096
Pangsha,23.7861527,89.4171519
Khoksha,23.8308846,89.3029737
Kumarkhali,23.8605756,89.2410244
Kushtia_Court,23.9070671,89.1282874
Azim Nagar,24.2065543,89.0059185
Lalmonirhat,25.911585000000002,89.44483890738553
Madhnagar,24.5026199,88.9599207
Badarganj,25.7071259,89.1808277
Mawa,23.5375399,90.2913785
Padma,23.4116142,90.2573015
Shibchar,23.3983671,90.2188185
Bhanga,23.4004807,89.9844964
Pukuria,23.4424507,89.9573489
Talma,23.4902665,89.8766674
Faridpur,23.6108764,89.8426903
Pachuria,23.7478822,89.7108993
Mirpur,23.8083649,90.3682614
Safdarpur,23.4624102,88.9614488
Benapole,23.0430994,88.9027779
Jamalganj,25.0305229,89.0219499
Hili,25.277513,89.0069924
Pabna,24.0159984,89.2561065
Tebunia,24.0740651,89.2061351
Dashuria,24.1126858,89.130372
Majhgram,24.1627166,89.0940227
Amnura_Bypass,24.6151297,88.3955117
Aditmari,25.92419175,89.3487254893703
Hatibandha,26.12837245,89.13843671853539
Patgram,26.3437585,89.0213325
Burimari,26.39613995,88.9351197
Kholahati,25.6564494,88.9749473
Chattogram,22.3340209,91.8295576
Feni,23.0131035,91.4031816
Cumilla,23.4636412,91.1667328
Akhaura,23.8692316,91.2060188
Bhairab_Bazar,24.0502591,90.9781951
Gafargaon,24.4536308,90.54785126380074
Mymensingh,24.7532728,90.4101031
Piyarpur,24.8790798,90.1966031
Melandah_Bazar,24.97823105,89.85348053701989
Islampur_Bazar,25.0778008,89.7916227
Bajra,22.9920794,91.1006125
Sonaimuri,23.0440112,91.0986423
Natherpetua,23.113199950000002,91.11541161158753
Ashuganj,24.0382393,91.0016427
Azampur,23.8926482,91.2207974
Shaistaganj,24.27836435,91.45038258629305
Sreemangal,24.3066483,91.7349843
Bhanugach,24.3518279,91.8415358
Maijgaon,24.6862621,91.95166903068619
Sylhet,24.8817611,91.8679883
Harashpur,24.0166274,91.3098775
Shahaji_Bazar,24.2527846,91.3819186
Nangolkot,23.1677702,91.198695
Shamshernagar,24.382933,91.9003337
Baramchal,24.587583,91.9788533
Kumira,22.5051698,91.71581409601735
Narundi,24.8650076,90.1199339
